+--------+-----------+
|   x    |     y     |
+--------+-----------+
| -10.00 |  22.40591 |
|  -9.50 |  14.87535 |
|  -9.00 |   7.54566 |
|  -8.50 |   1.28653 |
|  -8.00 |  -3.21242 |
|  -7.50 |  -5.61052 |
|  -7.00 |  -5.99943 |
|  -6.50 |  -4.88072 |
|  -6.00 |  -3.04306 |
|  -5.50 |  -1.36911 |
|  -5.00 |  -0.61944 |
|  -4.50 |  -1.24631 |
|  -4.00 |  -3.28291 |
|  -3.50 |  -6.33529 |
|  -3.00 |  -9.67876 |
|  -2.50 | -12.43536 |
|  -2.00 | -13.78878 |
|  -1.50 | -13.18424 |
|  -1.00 | -10.46432 |
|  -0.50 |  -5.90751 |
|   0.00 |  -0.16000 |
|   0.50 |   5.92251 |
|   1.00 |  11.48432 |
|   1.50 |  15.87924 |
|   2.00 |  18.82878 |
|   2.50 |  20.49036 |
|   3.00 |  21.41876 |
|   3.50 |  22.43029 |
|   4.00 |  24.40291 |
|   4.50 |  28.06131 |
|   5.00 |  33.79944 |
|   5.50 |  41.58411 |
|   6.00 |  50.96306 |
|   6.50 |  61.17572 |
|   7.00 |  71.33943 |
|   7.50 |  80.66552 |
|   8.00 |  88.65242 |
|   8.50 |  95.20847 |
|   9.00 | 100.67434 |
|   9.50 | 105.73965 |
|  10.00 | 111.27409 |
+--------+-----------+

+--------------------------------------------+
|        Приближенные значения и интервалы   |
|        локализации каждого корня           |
+----------+----------------+----------------+
|    i     |        1       |        2       |
+----------+----------------+----------------+
|   x_i    |      -8.4      |        0       |
+----------+----------------+----------------+
|   a_i    |      -10       |       -1       |
+----------+----------------+----------------+
|   b_i    |       -5       |        4       |
+----------+----------------+----------------+
